STT,X,Y,Label,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,NDVI,NDWI
60,580938.1,2327537,Croplands,982.3157895,885.7894737,599.8947368,1982.105263,2012.578947,1932.5,1695.263158,0.337262978,-0.382271977
61,518106.8,2364959,Croplands,807.875,852.6,481.625,2884.05,2976.925,2411.5,1507.55,0.562355682,-0.543655413
62,634811.8,2332236,Croplands,981.4651163,1013.465116,559.7209302,2041.325581,2022.837209,1516.2,961.1395349,0.350623173,-0.336474923
63,575013.9,2347180,Croplands,954.3913043,922.2608696,558.0434783,2803.043478,2744.913043,2222.357143,1385.043478,0.491998473,-0.504866833
64,514389.7,2365846,Croplands,730.9347826,780.4565217,414.7391304,2749.5,2536.717391,1823.181818,1022.847826,0.579975016,-0.557809555
65,534205.7,2333155,Croplands,529.9333333,623.2666667,315.6666667,2998,2935.466667,2011.428571,912.1,0.699578601,-0.655774223
66,515879.1,2372400,Croplands,524.5277778,631.7222222,313.4166667,2955.611111,2767.638889,1949.888889,896.1944444,0.698559285,-0.647804002
67,598707.5,2290320,Croplands,793.0571429,812.9142857,484.3142857,2541.771429,2577.542857,1873.117647,1131.628571,0.524379064,-0.51535592
68,599569.8,2345682,Croplands,892.5348837,932.9767442,490.3255814,2787.790698,2573.372093,2026,1176.837209,0.514969606,-0.49850306
69,501298.2,2379111,Croplands,470.6944444,614.1666667,308.0555556,2972.194444,2666.027778,1662.866667,770.4444444,0.726570064,-0.657498703
70,566281.1,2305134,Croplands,767.2926829,834.8780488,439.0731707,2750.609756,2607.756098,2050.190476,1173.97561,0.563778305,-0.534301554
71,537999.3,2335837,Croplands,599.0555556,703.5833333,377,3058.25,2918.388889,1943.230769,1128,0.672406067,-0.625935935
72,615191.8,2299192,Croplands,891.35,897.775,494.75,2892.275,2729.575,2126.666667,1282.95,0.528838085,-0.526246356
73,579852.9,2279830,Croplands,640.03125,741.59375,405.65625,2329.84375,2121.4375,1434.785714,795.1875,0.568984385,-0.517103148
74,498145.1,2344135,Croplands,351.1851852,536.1111111,263.7777778,3261.444444,3025.296296,1672.0625,766.4074074,0.805579192,-0.717654632
